	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72
1	0	232606	77306.5	54356.3	68622.9	63299	54397	122677.5	36691.7	39016.7	34186.2	73891.3	71568.9	88365.6	79741.2	35820.5	23269.7	87314.9	35052	27142.1	106558.1	54144.5	25179.1	117182.4	46831.8	46750.5	71335.9	35224.5	46081.9	33547	40461.4	47448.2	72085	18560.4	111562.4	33382.1	78225.7	55445.1	18903.6	34346.9	67510.4	60906.4	45724.5	38003.1	35455	95440.2	103164	33818.7	106729.7	25798.7	80415.8	33664.4	33881.3	42305.9	59233.2	48224	64084	36080.2	38936.6	44843.9	83430.9	15585.4	76598.2	32902.7	56723.9	70739.2	47840.8	21587.2	26076.9	48104.6	34281	50388.1
2	232977.1	0	268917.6	179687.3	264956.7	185330.3	194275.8	283528.5	197228.2	194708.3	209968.9	229436.9	177643.5	275391.2	249053.1	250574.5	210676.1	245932.8	198870.6	206474.5	303269.8	220323.9	236370.4	280202.2	262977.6	186768.8	239979.3	198417.2	226098	219102.7	194629.6	233239.7	247036.9	239610.3	275514	204698.8	191599.4	194044.9	214653.2	199478.4	256534.8	229927.9	234273.7	195736.9	198688.7	292151.9	263873.8	200845.6	272648.6	233734.8	176228.7	199989.9	200203.2	232184.7	210329.6	185999.8	211870.2	197532.5	259946.5	237368.7	165685	232350.5	174093.3	212482.6	238006.7	207862.4	192801.1	243426.9	241091.4	195231.8	207562.6	215922.6
3	77569.9	268322.1	0	103691.7	9606.4	85702.7	122046.3	60766.4	106246.2	106666	109299.9	41670.7	139218.2	13017.4	31632.3	43618.3	77483.5	41288.5	105991.7	79532.7	35586.9	130635.1	100508.9	55783.8	45262.5	111149.4	30607.6	106164.2	44347.6	110037.6	106472.8	123770.3	23974.9	61604.6	49469.2	104321.8	150817.7	123094.4	96072.2	105286.6	14140	41574.5	121286.1	105652.4	106394.7	24469	54588.3	104758.4	43946.2	102414.5	148065.1	104604.1	104821	118538.7	134580.2	111535.4	140574.6	106037.7	54961.1	117486.4	150836.6	92076	135210.6	109393.3	31323.6	61426.2	105608.1	91499.1	95988.8	115753.9	96968.8	54884.5
4	53989.7	178957.4	103635.6	0	98692.7	23875.7	36852.1	123599.9	32556.1	30036.2	45296.8	69508.3	41164.8	115462.6	89124.5	73964	31688.7	86004.2	34198.5	27487.1	137987.8	73545.8	71698.3	120273.6	85989.7	21953.5	80050.7	33745.1	59503.8	54430.6	29957.5	70810.1	87108.3	60622.9	115585.4	40026.7	69421.6	37900.2	47121.7	34806.3	91252.8	66080.1	69601.6	31064.8	34016.6	126869.9	103945.2	36173.5	112720	69062.7	54050.9	35317.8	34896.5	67512.6	56337.5	20875.4	64017.1	32860.4	80959.1	72696.6	48332.3	64819	32706.3	47810.5	72582.1	47933.8	27676.7	74826.3	76419.3	30559.7	30709.9	49328.4
5	68729.7	264218.9	9557.7	98664.4	0	81599.5	117019	66931.5	101218.9	101638.7	101836.6	37567.5	134190.9	20616.8	30715.2	35568	72148.2	40371.4	100656.4	74197.4	42317.5	121794.9	92458.6	61699	38539.4	106122.1	26504.4	100828.9	39459.9	101197.4	101445.5	115098.6	19871.7	53554.3	55623.6	98986.5	145876.1	118067.1	87232	99951.3	8989.1	37471.3	113235.8	100625.1	101059.4	31199.6	53671.2	99423.1	50321.8	93449.1	143037.8	99268.8	99485.7	110488.4	126883.6	106508.1	131734.4	101010.4	48238	109436.1	145809.3	83235.8	130183.3	100553.1	27220.4	57323	100580.8	83448.8	87938.5	110726.6	91633.5	49857.2
6	63493.6	184551.4	85566.5	24156.7	81605.6	0	59821.4	100177.4	53882.4	53005.5	65216	46085.8	62750.7	92040.1	65702	67167.3	41192.6	62581.7	54517	36991	119918.7	96515.1	87588.6	96851.1	79570.4	44922.8	56628.2	54063.6	42746.9	74349.8	52926.8	90729.3	63685.8	63886.8	92162.9	59945.9	91007.5	60869.5	61711.1	55124.8	73183.7	46576.8	89520.8	53288.6	54450.2	108800.8	80522.7	56092.7	89297.5	84953	75636.8	54762.6	54715.8	87431.8	79306.8	43844.7	86986.4	53673.9	81633.6	92615.8	69918.2	78328.4	54292.2	67729.7	54655.6	24511.3	50646	84330.2	88819.9	53529	49971	32571.5
7	54455.5	193123.9	121468.1	36821.5	116525.2	59476.8	0	148506.5	18413.4	15893.5	31154.1	94885.8	17232.5	133256.7	111680.8	89917.9	48075.1	109587.7	20055.8	43538.4	155820.3	42018.1	55037.1	143890	100929.2	15001.5	102673.4	19602.4	77336.3	36537.2	16414.6	50320.8	106243.7	72657.8	139201.8	25884	31554.6	1108.7	35838.4	20663.6	109085.3	86906.5	51708.2	16922.1	19873.9	144702.4	128851.8	22030.8	136336.4	52438.2	26079.4	21175.1	21388.4	49619.2	24809.8	16475	32489.4	18717.7	93034	54803.2	29094.5	53535.7	25982.3	33667.8	90414.6	83534.9	20722.9	63139.1	59758.1	7126	28747.8	69023.6
8	123107.6	283250.4	61455.6	124418.1	67013.2	100631	149161.2	0	133361.1	133780.9	140636.4	56943.7	163012.1	52367.9	43372.1	98702.8	110008.8	40908.9	133995.7	109095.1	81579	172846	147207.4	6528.6	104242.1	138264.3	53011.6	133542.3	79513	149770.2	133587.7	166149.7	53777.8	111585.9	12689.1	135658.3	177932.6	150209.3	131734	134603.5	63033.4	68884	164941.2	132767.3	133928.9	72457.4	20861.6	135571.4	18072.8	147827	175180	134241.3	134194.5	162852.2	161695.1	138650.3	169374.7	133152.6	113497.9	166872.2	170179.6	137613.7	154553.6	143150.1	66882.8	76354.5	132723	142095.4	146585.1	142868.8	128305.3	80254.8
9	36870.6	196524.6	105717.5	32707.2	100774.6	53381.1	18533.7	132755.9	0	3153.4	13569.2	79135.2	35705.6	117506.1	95930.2	72333	31400	93837.1	2470.9	27787.8	140069.7	45778.8	39970.7	128139.4	83344.3	10887.2	86922.8	2017.5	61585.7	22703	4598.1	39082.5	90493.1	55072.9	123451.2	8299.1	46063.5	19581.8	18253.5	3078.7	93334.7	71155.9	37874	2139.8	2289	128951.8	113101.2	4445.9	120585.8	37335.1	44552.5	3590.2	3803.5	35785	29826	12360.7	37505.6	1132.8	75449.1	40969	47567.6	35950.8	40734.9	16082.9	74664	72108	12274	47027.2	44691.7	12241.3	11162.9	53273
10	39138.2	193919.3	106150.8	30101.9	101207.9	52757.2	15928.4	133189.2	3096.1	0	15836.8	79568.5	33100.3	117939.4	96363.5	74600.6	32757.8	94270.4	4738.5	28221.1	140503	48046.4	42238.3	128572.7	85611.9	8281.9	87356.1	4285.1	62019	24970.6	1714.9	41350.1	90926.4	57340.5	123884.5	10566.7	47610.1	16976.5	20521.1	5346.3	93768	71589.2	40141.6	1583.5	4556.6	129385.1	113534.5	6713.5	121019.1	39602.7	41947.2	5857.8	6071.1	38052.6	31372.6	9755.4	39052.2	3400.4	77716.7	43236.6	44962.3	38218.4	38129.6	18350.5	75097.3	72541.3	9390.8	49294.8	46959.3	9636	13430.5	53706.3
