,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
10,1047447.3,4717265.4,3038283.5,2791369.9,812544.8,2867284.3,1478156.9,460050.6,3828302.5,81721.2,0.0,496182.0,2281863.1,917816.4,3380961.0,2772866.0,2082218.5,894396.7,2702851.5,129628.1,770095.2,4091390.6,1414734.7,1196527.2,3676452.2,2405858.4,256875.1,2510848.4,118330.6,1754358.0,,,769101.7,58646.6,40780.6,1222439.8,2597193.8,1571393.2,3534142.1,290216.5,1230613.2,2510270.5,482731.1,1179790.4,553880.1,145062.5,2679880.1,2021487.2,1203461.3,1225101.9,33208.5,1806660.1,122098.4,3738988.4,3251182.7,189667.5,3470403.0,1122359.6,181502.0,1159311.5,162827.0,162845.0,3461798.8,1149000.8,887588.7,298049.6,3460869.9,1074077.8,91852.0,2186727.3,1296211.5,1249115.2,999793.3,1062191.2,577247.8,2132619.7,1973989.5,226171.0,1280061.4,1328095.5,265987.3,367837.4,3358525.9,1535070.4,1078878.2
11,899309.6,5207026.4,3179230.7,2624611.5,1302305.8,2886931.8,1861235.4,949811.6,4094438.3,425048.9,496280.5,0.0,2547998.9,1407577.3,3521908.2,2949106.6,1915460.0,947556.5,2968987.2,378202.4,1016792.9,4070827.2,920984.7,744473.2,3942588.0,2239099.9,746636.1,2698330.6,384410.1,1918524.4,,,275351.7,441703.5,535051.4,728689.8,2738141.0,1404634.7,3800277.9,261832.5,1330324.3,2529918.0,972492.1,727736.4,550776.2,356890.4,2820827.3,2287623.0,709711.2,1166586.3,465594.6,1744307.2,388702.7,3718425.0,3517318.5,311004.9,3709670.9,670305.6,671263.0,1649072.5,335025.5,341467.6,3602746.0,655250.7,845962.2,787810.6,3601817.1,1032451.3,409014.6,2019968.9,802461.5,1738876.2,641161.1,1551952.2,83497.8,2273566.9,2298572.5,698268.3,861997.5,876041.6,755748.3,588972.3,3583624.3,1801206.2,1037251.7
12,2100516.4,5746621.3,1194185.7,1507106.4,2009414.3,1092430.2,1335108.6,2734199.6,1619295.2,2263035.6,2280668.5,2548239.0,0.0,3024824.2,1362353.7,552404.8,1490897.1,1658288.3,508676.6,2283044.6,1612411.1,2247292.8,3466791.7,2771829.6,1467444.9,1741317.6,2374926.3,334359.7,2271747.2,820827.5,,,2821158.7,2240735.9,2246389.6,3274496.8,539507.0,1861873.3,1325134.8,2385582.3,3434157.9,896855.5,2756880.1,2755279.1,2271447.5,2298479.0,835782.3,442523.8,3255518.3,3428646.5,2249982.6,1302220.7,2276755.0,1894890.7,1042175.4,2319774.9,1261395.7,2822827.3,2361366.2,3433460.5,2283496.0,2282328.3,1331482.3,3201057.8,3091133.3,2376391.7,1330553.4,3277622.4,2260547.8,1958706.1,3348268.5,3222203.9,2523194.3,2778920.6,2629304.8,518382.6,625820.6,2250128.9,2672902.7,2812757.4,2540136.3,2146246.0,1149518.6,759087.7,3282422.8
13,1960413.1,4066792.6,3951249.3,3704335.8,1101610.7,3780250.1,1692795.4,461120.7,4463380.1,994687.1,919746.7,1409147.8,3013565.1,0.0,4293926.8,3543228.5,2995184.3,1807362.6,3494090.5,1042594.0,1683061.0,5004356.4,1350499.5,1996643.2,4458268.5,3318824.2,913704.5,3319773.7,1031296.5,2667323.8,,,1465953.7,971612.4,931846.9,1727437.7,3510159.6,2484359.0,4315958.4,1203182.3,767575.9,3423236.3,446269.3,1979906.4,1466846.0,1058028.3,3592845.9,2934453.1,1779121.8,1173344.4,951107.1,2719625.9,1035064.2,4651954.2,3886260.3,1102633.3,4252219.3,1914700.2,841934.5,352622.6,1075792.8,1075810.9,4374764.6,1724661.3,1066717.0,954879.1,4373835.7,1120501.0,1004817.8,3099693.2,1871872.1,334667.7,1912759.1,251713.5,1490213.6,3045585.5,2398555.8,1053004.6,2205599.0,2128211.5,664653.5,1280803.2,4140342.2,2448036.2,1012401.8
14,2598251.3,7071164.5,381661.5,1199982.9,3275610.7,611779.5,2659651.8,3835666.3,1475718.2,3364502.3,3382135.2,3523542.0,1361807.1,4293432.0,0.0,848803.5,1627320.1,2586209.9,1186674.9,3407472.4,2666427.3,1010928.2,4080825.0,3264873.2,1320242.0,1668347.1,3476392.9,1042586.1,3413680.0,1633352.8,,,3521259.3,3342202.6,3347856.3,3951970.1,829678.3,2181341.3,1142657.3,3360885.4,4535624.5,1000342.2,3858346.7,3262124.4,3095578.8,3386160.3,760075.8,1536135.5,3922505.2,4326426.6,3351449.2,1764536.6,3417972.6,718100.4,1353424.6,3363149.2,1000088.7,3369509.3,3462832.9,4534927.2,3364120.9,3366591.1,323713.5,3829783.7,4192600.0,3477858.3,616456.9,4359773.2,3362014.4,1955060.3,3815560.3,4546747.1,3020929.3,4103463.8,3447719.5,1253895.3,1950363.8,3351595.5,3030456.9,3170311.6,3641602.9,3121549.0,791623.4,1930863.4,4405907.0
15,2335763.5,6264917.2,915330.1,1562266.2,2527710.2,905926.1,1853404.5,3233177.8,1232356.6,2762013.8,2779646.6,2949813.9,551375.0,3543120.0,848431.2,0.0,1687436.8,2012481.8,340391.8,2782022.8,2092699.2,1845409.7,3818337.2,3007076.8,1065623.2,1868048.4,2873904.4,285169.3,2770725.3,1059624.7,,,3222733.7,2739714.1,2745367.7,3626042.3,317220.7,2034010.1,878973.7,2787157.3,3933136.0,932497.6,3255858.2,2990526.3,2673022.4,2812432.2,649278.2,786561.4,3590547.4,3927624.7,2748960.7,1474357.5,2775733.1,1552582.0,676100.5,2789421.1,766232.8,3058074.5,2860344.4,3932438.6,2790392.8,2792863.0,764070.4,3503276.4,3590111.4,2875369.8,763141.5,3776600.5,2759525.9,2138036.6,3586237.9,3740499.8,2758441.5,3297216.5,3030879.8,690519.4,1144116.5,2749107.0,2845039.5,2984894.2,3039114.4,2547820.9,640186.2,1258065.9,3781401.0
16,1030644.1,6295483.4,1285375.3,709142.3,2139623.9,1051426.8,1866294.3,2533997.7,2848620.4,2009235.0,2080466.5,1914380.9,1491767.5,2991763.4,1626654.6,1686774.1,0.0,1255594.7,1884917.1,1962388.5,1327839.8,2155358.0,2513217.8,1656083.9,2686149.7,378965.1,2189894.3,1412685.8,1968596.1,794644.2,,,1953652.1,2025889.5,2061357.6,2343180.9,1370167.2,538897.2,2502456.4,1915801.5,3149076.1,760080.5,2556678.1,1653335.1,1527971.5,1941076.4,1069374.2,1147488.7,2313716.0,2758819.4,2049780.6,358543.9,1972888.8,1802955.8,2346184.0,1918065.3,2367966.2,1760720.0,2176334.2,3233258.5,1919037.0,1921507.2,1898992.0,2220994.5,2664714.0,2191359.7,2044905.6,2792166.0,1993200.6,471332.3,2206771.0,3323062.3,1419505.6,2984657.6,1880112.3,991016.7,1492048.4,2065096.9,1421667.6,1561522.3,2339934.3,1703034.2,2150465.5,1056976.2,2838299.8
17,696766.8,5168665.8,2262109.8,1965849.8,936953.3,2081038.3,1164203.2,1346497.0,3204209.9,880119.4,892965.9,949342.6,1657770.5,1804262.7,2604787.3,2031985.7,1256698.3,0.0,2078758.8,833272.9,125169.1,3315216.9,1867895.3,1370390.1,3052359.5,1621523.7,987223.6,1781209.7,839480.6,1001403.5,,,1222262.4,853033.3,858687.0,1675600.5,1821020.1,863711.9,2910049.4,786686.0,2037718.7,1724024.5,1369177.4,1353839.6,672551.1,811960.9,1903706.4,1397394.6,1656621.9,1958112.2,862279.9,977081.1,843773.2,2962814.7,2627090.1,788949.8,2792550.0,1302292.4,973663.6,2045757.9,789921.4,792391.6,2685625.1,1602161.4,1620599.0,988689.1,2684696.2,1807088.0,864085.1,1471661.2,1749372.2,2135561.6,1121754.8,1781987.0,1030408.4,1356446.0,1408344.1,862426.2,1302467.7,1442322.4,1152433.6,547349.6,2666503.4,910977.8,1811888.5
18,2551989.4,6091777.3,1191342.6,1838278.7,2354570.3,1181938.6,1680264.6,3157117.3,1153398.6,2685953.3,2703586.2,2971156.7,509589.6,3369980.2,1184516.4,339192.3,1879259.7,2081206.0,0.0,2705962.3,2035328.8,2181494.9,3889709.4,3223302.6,1082602.6,2107921.9,2797843.9,478661.3,2694664.8,1216489.2,,,3244076.4,2663653.6,2669307.3,3697414.5,593233.2,2250235.9,1037426.5,2808500.0,3857075.5,1208510.1,3179797.7,3206752.1,2694365.1,2721396.7,925290.7,843621.8,3678436.0,3851564.2,2672900.2,1690583.4,2699672.7,1892047.6,576278.8,2742692.5,973687.4,3274300.3,2784283.9,3856378.2,2706413.7,2705246.0,1100155.6,3623975.5,3514051.0,2799309.3,1031454.6,3700540.0,2683465.4,2377910.0,3771186.2,3567359.9,2974667.3,3124076.6,3052222.5,906745.3,970976.6,2673046.5,3061265.4,3201120.1,2963053.9,2569163.6,861810.3,1182005.4,3705340.5
19,929725.3,4840421.7,3064612.6,2673648.0,935701.2,2883541.1,1515829.3,583207.0,3828251.7,58444.3,129675.9,378460.0,2281812.3,1040972.7,3407290.1,2772815.2,1964496.6,832938.4,2702800.7,0.0,770044.3,4117719.7,1297012.8,1078805.2,3676401.4,2288136.4,380031.4,2510797.5,17805.5,1754307.2,,,651379.8,75098.8,168446.8,1104717.9,2623522.9,1453671.2,3534091.3,172494.6,1216043.5,2526527.3,605887.4,1062068.5,436158.2,22619.8,2706209.2,2021436.4,1085739.3,1210532.2,98989.9,1699635.7,21123.9,3765317.6,3251131.9,71945.6,3470352.2,1004637.6,304658.4,1282467.9,45105.0,45123.1,3488127.9,1031278.8,873019.0,421206.0,3487199.0,1059508.0,42410.0,2069005.4,1178489.6,1372271.6,882071.3,1185347.5,459525.9,2158948.8,1973938.7,352862.2,1162339.4,1210373.6,389143.6,276133.5,3358475.1,1535019.6,1064308.5
